source_q,target_q,edge_type,weight
ai-36,ai-37,same-topic,0.101
ai-37,ai-36,same-topic,0.126
ai-37,ai-39,same-topic,0.093
ai-38,ai-3,same-topic,0.15
ai-38,ai-43,same-topic,0.091
ai-38,co-37,cross-domain,0.553
ai-38,la-43,cross-domain,0.645
ai-38,mock2-q38,cross-domain,0.605
ai-39,ai-37,same-topic,0.138
ai-39,ai-42,same-topic,0.091
ai-4,ai-2,prerequisite,0.39
ai-4,ai-2,same-topic,0.101
ai-4,ai-30,prerequisite,0.334
ai-40,ai-33,same-topic,0.127
ai-40,ai-41,same-topic,0.085
ai-40,ai-42,prerequisite,0.245
ai-41,ai-40,same-topic,0.103
ai-41,ai-45,same-topic,0.123
ai-42,ai-39,same-topic,0.109
ai-42,ai-46,same-topic,0.107
ai-43,ai-38,same-topic,0.102
ai-43,ai-44,same-topic,0.11
ai-43,mock5-q29,cross-domain,0.512
ai-43,mock5-q64,cross-domain,0.571
ai-43,mock6-q17,cross-domain,0.735
ai-44,ai-43,same-topic,0.113
ai-45,ai-41,same-topic,0.15
ai-45,ai-5,same-topic,0.112
ai-46,ai-3,same-topic,0.123
ai-46,ai-42,same-topic,0.12
ai-46,dbms-9,cross-domain,0.621
ai-46,la-17,cross-domain,0.698
ai-46,mock2-q37,cross-domain,0.567
ai-46,mock4-q18,cross-domain,0.536
ai-46,mock6-q31,cross-domain,0.619
ai-5,ai-31,same-topic,0.096
ai-5,ai-45,same-topic,0.149
ai-6,ai-18,same-topic,0.118
ai-6,mock3-q65,same-topic,0.118
ai-7,ai-2,same-topic,0.127
ai-7,ai-34,prerequisite,0.373
ai-7,ai-8,same-topic,0.089
ai-7,mock2-q36,prerequisite,0.302
ai-8,ai-12,prerequisite,0.232
ai-8,ai-35,prerequisite,0.52
ai-8,ai-7,same-topic,0.129
ai-8,mock2-q53,same-topic,0.137
ai-9,ai-10,same-topic,0.103
ai-9,ai-22,same-topic,0.119
co-1,co-11,same-topic,0.095
co-1,co-4,prerequisite,0.441
co-10,co-19,same-topic,0.097
co-10,co-7,same-topic,0.14
co-11,co-1,prerequisite,0.33
co-11,co-1,same-topic,0.123
co-11,co-12,same-topic,0.087
co-11,co-28,prerequisite,0.519
co-12,co-11,same-topic,0.128
co-12,co-13,same-topic,0.112
co-12,co-29,prerequisite,0.326
co-12,co-5,prerequisite,0.243
co-13,co-12,same-topic,0.122
co-13,co-20,same-topic,0.118
co-13,co-30,prerequisite,0.306
co-13,co-8,prerequisite,0.429
co-14,co-15,same-topic,0.095
co-14,co-9,same-topic,0.128
co-15,co-14,same-topic,0.114
co-15,co-16,same-topic,0.11
co-16,co-15,same-topic,0.138
co-16,co-22,same-topic,0.092
co-17,co-18,same-topic,0.118
co-17,co-19,same-topic,0.129
co-18,co-17,same-topic,0.123
co-18,mock2-q60,same-topic,0.123
co-19,co-10,same-topic,0.127
co-19,co-17,same-topic,0.127
co-19,dsa-3,cross-domain,0.51
co-19,la-29,cross-domain,0.497
co-19,mock2-q28,cross-domain,0.647
co-19,mock2-q3,cross-domain,0.483
co-19,mock2-q54,cross-domain,0.534
co-19,mock3-q36,cross-domain,0.774
co-19,mock7-q2,cross-domain,0.82
co-2,co-24,same-topic,0.102
co-2,co-25,same-topic,0.114
co-20,co-13,same-topic,0.138
co-20,co-21,same-topic,0.085
co-20,co-9,prerequisite,0.241
co-20,co-nat-1,prerequisite,0.326
co-21,co-14,prerequisite,0.256
co-21,co-20,same-topic,0.131
co-21,mock2-q15,same-topic,0.095
co-22,co-16,same-topic,0.13
co-22,co-23,same-topic,0.104
co-23,co-22,same-topic,0.12
co-23,co-25,same-topic,0.112
co-24,ai-10,cross-domain,0.648
co-24,co-2,same-topic,0.116
co-24,dbms-10,cross-domain,0.515
co-24,dsa-38,cross-domain,0.584
co-24,la-13,cross-domain,0.654
co-24,ml-msq-1,cross-domain,0.478
co-24,mock2-q6,same-topic,0.111
co-24,mock6-q3,cross-domain,0.516
co-24,ps-40,cross-domain,0.504
co-25,co-2,same-topic,0.101
co-25,co-23,same-topic,0.126
co-26,mock3-q50,same-topic,0.122
co-27,co-31,same-topic,0.086
co-27,co-38,prerequisite,0.282
co-27,co-nat-1,same-topic,0.142
co-28,co-29,same-topic,0.097
co-28,co-3,prerequisite,0.311
co-28,co-33,prerequisite,0.223
co-28,co-4,same-topic,0.132
co-29,co-28,same-topic,0.11
co-29,co-30,same-topic,0.11
co-29,co-34,prerequisite,0.259
co-29,co-47,prerequisite,0.317
co-3,co-47,same-topic,0.148
co-3,co-66,same-topic,0.124
co-30,ai-43,cross-domain,0.586
co-30,co-29,same-topic,0.105
co-30,co-37,prerequisite,0.394
co-30,co-48,prerequisite,0.527
co-30,co-nat-1,same-topic,0.096
co-30,dbms-4,cross-domain,0.456
co-30,la-7,cross-domain,0.611
co-30,mock5-q29,cross-domain,0.505
co-30,mock5-q64,cross-domain,0.539
co-30,mock6-q17,cross-domain,0.521
co-31,co-27,same-topic,0.122
co-31,co-32,same-topic,0.084
co-31,co-39,prerequisite,0.247
co-32,co-31,same-topic,0.105
co-32,co-35,same-topic,0.093
co-32,co-42,prerequisite,0.323
co-33,co-34,same-topic,0.111
co-33,co-36,same-topic,0.16
co-34,co-33,same-topic,0.121
co-34,co-37,same-topic,0.089
co-35,co-32,same-topic,0.129
co-35,co-36,same-topic,0.115
co-35,co-43,prerequisite,0.415
co-36,co-33,same-topic,0.109
co-36,co-35,same-topic,0.122
co-37,ai-38,cross-domain,0.596
co-37,co-34,same-topic,0.136
co-37,co-38,same-topic,0.087
co-37,dsa-64,cross-domain,0.471
co-37,la-43,cross-domain,0.545
co-37,mock2-q38,cross-domain,0.573
co-37,mock6-q28,cross-domain,0.704
co-37,mock6-q7,cross-domain,0.483
co-38,co-37,same-topic,0.123
co-38,co-39,same-topic,0.085
co-39,co-38,same-topic,0.125
co-39,co-42,same-topic,0.117
co-4,co-28,same-topic,0.117
co-4,co-66,prerequisite,0.376
co-4,co-nat-1,prerequisite,0.264
co-40,co-43,same-topic,0.135
co-40,co-45,same-topic,0.086
co-41,co-44,same-topic,0.118
co-41,mock3-q8,same-topic,0.125
co-42,co-39,same-topic,0.1
co-42,co-43,same-topic,0.107
co-43,co-40,same-topic,0.098
co-43,co-42,same-topic,0.11
co-44,co-41,same-topic,0.112
co-45,co-40,same-topic,0.135
co-45,co-46,same-topic,0.088
co-45,dbms-37,cross-domain,0.753
co-45,mock2-q29,cross-domain,0.518
co-45,mock2-q49,cross-domain,0.753
co-45,mock3-q57,cross-domain,0.595
co-45,mock5-q40,cross-domain,0.504
co-45,mock5-q51,cross-domain,0.595
co-46,co-45,same-topic,0.108
co-46,mock2-q8,same-topic,0.131
co-47,co-3,same-topic,0.175
co-47,co-48,same-topic,0.085
co-48,co-47,same-topic,0.116
co-48,co-50,same-topic,0.109
co-49,co-53,same-topic,0.082
co-49,co-6,same-topic,0.125
co-5,co-8,same-topic,0.091
co-5,mock3-q61,same-topic,0.127
co-50,co-48,same-topic,0.127
co-50,co-52,same-topic,0.09
co-51,co-55,same-topic,0.095
co-51,mock7-q37,same-topic,0.137
co-52,co-50,same-topic,0.114
co-52,co-54,same-topic,0.101
co-53,ai-46,cross-domain,0.537
co-53,co-49,same-topic,0.108
co-53,co-58,same-topic,0.087
co-53,dbms-9,cross-domain,0.6
co-53,la-17,cross-domain,0.663
co-53,mock2-q37,cross-domain,0.503
co-53,mock4-q18,cross-domain,0.7
co-53,mock6-q31,cross-domain,0.68
co-54,co-52,same-topic,0.115
co-54,co-63,same-topic,0.082
co-55,co-51,same-topic,0.104
co-55,co-56,same-topic,0.087
co-56,co-55,same-topic,0.132
co-56,co-57,same-topic,0.084
co-57,ai-17,cross-domain,0.647
co-57,co-56,same-topic,0.11
co-57,co-59,same-topic,0.118
co-57,dsa-6,cross-domain,0.742
co-57,la-15,cross-domain,0.717
co-57,mock3-q2,cross-domain,0.537
co-57,mock3-q32,cross-domain,0.701
co-57,mock5-q45,cross-domain,0.758
co-57,mock7-q54,cross-domain,0.68
co-58,co-53,same-topic,0.137
co-58,co-61,same-topic,0.112
co-59,co-57,same-topic,0.14
co-59,co-62,same-topic,0.114
co-6,co-49,same-topic,0.111
co-6,co-63,same-topic,0.135
co-60,adaptive-mix-hard-2,same-topic,0.102
co-60,co-65,same-topic,0.147
co-61,co-58,same-topic,0.102
co-61,co-64,same-topic,0.083
co-62,co-59,same-topic,0.112
co-62,co-65,same-topic,0.117
co-63,co-54,same-topic,0.125
co-63,co-6,same-topic,0.106
co-64,co-61,same-topic,0.1
co-64,mock7-q37,same-topic,0.1
co-65,co-60,same-topic,0.11
co-65,co-62,same-topic,0.133
co-66,co-3,prerequisite,0.237
co-66,co-3,same-topic,0.101
co-7,co-10,same-topic,0.097
co-7,mock3-q15,same-topic,0.103
co-8,co-5,same-topic,0.107
co-8,co-9,same-topic,0.097
co-9,co-14,same-topic,0.114
co-9,co-8,same-topic,0.112
co-nat-1,co-27,same-topic,0.097
co-nat-1,co-30,same-topic,0.122
co-nat-1,co-50,prerequisite,0.508
dbms-1,dbms-17,same-topic,0.129
dbms-1,dbms-msq-1,same-topic,0.116
dbms-10,ai-10,cross-domain,0.704
dbms-10,co-24,cross-domain,0.79
dbms-10,dbms-18,same-topic,0.113
dbms-10,dbms-7,same-topic,0.121
dbms-10,la-13,cross-domain,0.591
dbms-10,ps-40,cross-domain,0.753
dbms-11,dbms-12,same-topic,0.093
dbms-11,dbms-9,same-topic,0.102
dbms-12,dbms-11,same-topic,0.124
dbms-12,dbms-19,same-topic,0.083
dbms-13,dbms-23,same-topic,0.083
dbms-13,dbms-25,same-topic,0.123
dbms-14,dbms-17,same-topic,0.088
dbms-14,dbms-6,same-topic,0.127
dbms-15,dbms-1,prerequisite,0.327
dbms-15,dbms-16,same-topic,0.083
dbms-15,dbms-26,prerequisite,0.336
dbms-16,dbms-15,same-topic,0.125
dbms-16,dbms-29,prerequisite,0.516
dbms-16,dbms-msq-1,prerequisite,0.331
dbms-16,mock4-q16,same-topic,0.129
dbms-17,dbms-1,same-topic,0.098
dbms-17,dbms-14,same-topic,0.112
dbms-18,dbms-10,same-topic,0.111
dbms-18,dbms-20,same-topic,0.081
dbms-19,dbms-12,same-topic,0.13
dbms-19,dbms-22,same-topic,0.089
dbms-2,dbms-28,same-topic,0.122
dbms-2,dbms-44,same-topic,0.117
dbms-20,dbms-18,same-topic,0.119
dbms-20,dbms-21,same-topic,0.08
dbms-21,dbms-20,same-topic,0.105
dbms-21,mock2-q32,same-topic,0.14
dbms-22,dbms-19,same-topic,0.128
dbms-22,dbms-25,same-topic,0.12
dbms-23,dbms-13,same-topic,0.105
dbms-23,dbms-24,same-topic,0.091
dbms-24,dbms-23,same-topic,0.124
dbms-24,mock2-q42,same-topic,0.124
dbms-25,dbms-13,same-topic,0.118
dbms-25,dbms-22,same-topic,0.138
dbms-26,dbms-29,same-topic,0.111
dbms-26,mock6-q34,prerequisite,0.304
dbms-27,dbms-30,same-topic,0.104
dbms-27,dbms-4,same-topic,0.118
dbms-28,dbms-2,same-topic,0.138
dbms-28,dbms-33,same-topic,0.098
dbms-29,dbms-26,same-topic,0.132
dbms-29,dbms-37,same-topic,0.099
dbms-29,mock7-q34,prerequisite,0.431
dbms-3,dbms-5,same-topic,0.117
dbms-3,mock7-q26,same-topic,0.1
dbms-30,dbms-27,same-topic,0.124
dbms-30,dbms-31,same-topic,0.118
dbms-31,dbms-30,same-topic,0.111
dbms-31,dbms-32,same-topic,0.091
dbms-32,dbms-31,same-topic,0.115
dbms-32,dbms-36,same-topic,0.083
dbms-33,dbms-28,same-topic,0.122
dbms-33,dbms-34,same-topic,0.116
dbms-34,dbms-33,same-topic,0.109
dbms-34,dbms-35,same-topic,0.089
dbms-35,dbms-34,same-topic,0.114
dbms-35,dbms-40,same-topic,0.099
dbms-36,dbms-32,same-topic,0.119
dbms-36,dbms-38,same-topic,0.101
dbms-37,co-45,cross-domain,0.598
dbms-37,dbms-29,same-topic,0.109
dbms-37,dbms-4,prerequisite,0.293
dbms-37,dbms-42,same-topic,0.116
dbms-37,mock2-q1,cross-domain,0.731
dbms-37,mock2-q29,cross-domain,0.72
dbms-37,mock2-q49,cross-domain,0.548
dbms-37,mock5-q51,cross-domain,0.533
dbms-38,dbms-36,same-topic,0.132
dbms-38,dbms-39,same-topic,0.113
dbms-39,dbms-38,same-topic,0.125
dbms-39,dbms-43,same-topic,0.099
dbms-4,ai-43,cross-domain,0.655
dbms-4,co-30,cross-domain,0.779
dbms-4,dbms-27,same-topic,0.113
dbms-4,la-7,cross-domain,0.609
dbms-4,mock4-q3,cross-domain,0.82
dbms-4,mock5-q29,cross-domain,0.498
dbms-4,mock7-q34,same-topic,0.104
dbms-40,dbms-35,same-topic,0.124
dbms-40,dbms-41,same-topic,0.085
dbms-41,dbms-40,same-topic,0.126
dbms-41,dbms-45,same-topic,0.086
dbms-42,dbms-27,prerequisite,0.422
dbms-42,dbms-37,same-topic,0.1
dbms-42,mock6-q34,same-topic,0.128
dbms-43,dbms-39,same-topic,0.115
dbms-43,dbms-44,same-topic,0.112
dbms-44,dbms-2,same-topic,0.108
dbms-44,dbms-43,same-topic,0.139
dbms-45,dbms-41,same-topic,0.138
dbms-45,mock3-q59,same-topic,0.129
dbms-5,dbms-3,same-topic,0.121
dbms-5,dbms-6,same-topic,0.089
dbms-6,ai-15,cross-domain,0.602
dbms-6,dbms-14,same-topic,0.086
dbms-6,dbms-5,same-topic,0.135
dbms-6,mock2-q50,cross-domain,0.751
dbms-6,mock6-q18,cross-domain,0.583
dbms-6,mock6-q30,cross-domain,0.518
dbms-6,mock6-q6,cross-domain,0.613
dbms-6,ps-43,cross-domain,0.574
dbms-7,dbms-10,same-topic,0.089
dbms-7,dbms-msq-1,same-topic,0.121
dbms-8,dbms-9,same-topic,0.093
dbms-8,mock2-q34,same-topic,0.121
dbms-9,ai-46,cross-domain,0.742
dbms-9,co-53,cross-domain,0.578
dbms-9,dbms-11,same-topic,0.114
dbms-9,dbms-8,same-topic,0.122
dbms-9,la-17,cross-domain,0.8
dbms-9,mock2-q37,cross-domain,0.6
dbms-9,mock6-q31,cross-domain,0.484
dbms-msq-1,dbms-1,same-topic,0.129
dbms-msq-1,dbms-7,same-topic,0.108
dsa-1,dsa-10,same-topic,0.112
dsa-10,dsa-1,prerequisite,0.239
dsa-10,dsa-1,same-topic,0.131
dsa-10,dsa-22,same-topic,0.103
dsa-11,dsa-14,prerequisite,0.276
dsa-11,dsa-21,same-topic,0.11
dsa-11,dsa-8,same-topic,0.137
dsa-12,dsa-16,same-topic,0.088
dsa-12,dsa-26,same-topic,0.151
dsa-13,dsa-14,same-topic,0.1
dsa-13,dsa-23,same-topic,0.138
dsa-14,dsa-13,same-topic,0.139
dsa-14,dsa-15,same-topic,0.087
dsa-15,dsa-14,same-topic,0.103
dsa-15,dsa-17,same-topic,0.086
dsa-16,dsa-12,same-topic,0.101
dsa-16,dsa-18,same-topic,0.099
dsa-17,dsa-15,same-topic,0.102
dsa-17,dsa-25,same-topic,0.105
dsa-18,dsa-16,same-topic,0.122
dsa-18,dsa-23,same-topic,0.091
dsa-19,dsa-20,same-topic,0.101
dsa-19,dsa-25,same-topic,0.153
dsa-2,dsa-6,prerequisite,0.361
dsa-2,mock2-q16,same-topic,0.11
dsa-20,dsa-19,same-topic,0.124
dsa-21,dsa-11,same-topic,0.136
dsa-21,dsa-15,prerequisite,0.392
dsa-21,dsa-24,same-topic,0.111
dsa-22,dsa-10,same-topic,0.121
dsa-22,dsa-12,prerequisite,0.414
dsa-22,dsa-4,same-topic,0.112
dsa-23,dsa-13,same-topic,0.107
dsa-23,dsa-18,same-topic,0.101
dsa-24,dsa-21,same-topic,0.114
dsa-24,dsa-26,same-topic,0.118
dsa-25,dsa-17,same-topic,0.107
dsa-25,dsa-19,same-topic,0.118
dsa-26,dsa-12,same-topic,0.144
dsa-26,dsa-24,same-topic,0.12
dsa-27,dsa-31,prerequisite,0.319
dsa-27,dsa-36,same-topic,0.103
dsa-27,mock7-q19,same-topic,0.127
dsa-28,dsa-32,same-topic,0.092
dsa-28,dsa-45,same-topic,0.139
dsa-29,dsa-30,same-topic,0.118
dsa-29,dsa-5,same-topic,0.136
dsa-3,dsa-55,same-topic,0.13
dsa-3,dsa-64,same-topic,0.141
dsa-3,mock2-q3,cross-domain,0.581
dsa-3,mock2-q54,cross-domain,0.677
dsa-3,mock3-q36,cross-domain,0.484
dsa-30,dsa-29,same-topic,0.118
dsa-30,dsa-31,same-topic,0.084
dsa-31,dsa-30,same-topic,0.111
dsa-31,dsa-33,same-topic,0.105
dsa-32,dsa-28,same-topic,0.135
dsa-32,dsa-34,same-topic,0.094
dsa-33,dsa-31,same-topic,0.14
dsa-33,dsa-35,same-topic,0.091
dsa-34,dsa-32,same-topic,0.129
dsa-34,dsa-46,same-topic,0.102
dsa-35,dsa-33,same-topic,0.131
dsa-35,dsa-44,same-topic,0.102
dsa-36,dsa-27,same-topic,0.106
dsa-36,dsa-37,same-topic,0.084
dsa-37,dsa-36,same-topic,0.108
dsa-37,dsa-45,same-topic,0.107
dsa-38,ai-10,cross-domain,0.599
dsa-38,co-24,cross-domain,0.496
dsa-38,dbms-10,cross-domain,0.57
dsa-38,dsa-41,same-topic,0.098
dsa-38,dsa-44,same-topic,0.116
dsa-38,la-13,cross-domain,0.624
dsa-38,ml-msq-1,cross-domain,0.5
dsa-38,mock6-q3,cross-domain,0.666
dsa-38,ps-40,cross-domain,0.5
dsa-39,dsa-40,same-topic,0.12
dsa-39,mock3-q51,same-topic,0.131
dsa-4,dsa-16,prerequisite,0.316
dsa-4,dsa-22,same-topic,0.119
dsa-4,dsa-7,same-topic,0.098
dsa-40,dsa-39,same-topic,0.133
dsa-41,dsa-38,same-topic,0.119
dsa-41,dsa-42,same-topic,0.11
dsa-42,dsa-41,same-topic,0.13
dsa-42,dsa-43,same-topic,0.113
dsa-43,dsa-42,same-topic,0.101
dsa-43,mock3-q63,same-topic,0.112
dsa-44,dsa-35,same-topic,0.128
dsa-44,dsa-38,same-topic,0.105
dsa-45,dsa-28,same-topic,0.128
dsa-45,dsa-37,same-topic,0.114
dsa-46,dsa-34,same-topic,0.135
dsa-46,mock2-q59,same-topic,0.131
dsa-47,dsa-51,same-topic,0.103
dsa-47,dsa-nat-1,same-topic,0.117
dsa-48,dsa-49,same-topic,0.08
dsa-48,mock7-q29,same-topic,0.127
dsa-49,dsa-48,same-topic,0.125
dsa-49,dsa-52,same-topic,0.09
dsa-5,dsa-29,same-topic,0.102
dsa-5,mock6-q33,same-topic,0.129
dsa-50,dsa-56,same-topic,0.117
dsa-50,mock7-q33,same-topic,0.113
dsa-51,dsa-47,same-topic,0.111
dsa-51,dsa-61,same-topic,0.116
dsa-52,dsa-49,same-topic,0.13
dsa-52,dsa-54,same-topic,0.116
dsa-53,dsa-66,same-topic,0.12
dsa-53,mock7-q56,same-topic,0.12
dsa-54,dsa-52,same-topic,0.137
dsa-54,dsa-57,same-topic,0.098
dsa-55,dsa-3,same-topic,0.139
dsa-55,dsa-59,same-topic,0.102
dsa-56,dsa-50,same-topic,0.121
dsa-56,dsa-65,same-topic,0.098
dsa-57,dsa-54,same-topic,0.119
dsa-57,dsa-58,same-topic,0.081
dsa-58,dsa-57,same-topic,0.132
dsa-58,dsa-64,same-topic,0.105
dsa-59,dsa-55,same-topic,0.106
dsa-59,dsa-60,same-topic,0.096
dsa-6,ai-17,cross-domain,0.513
dsa-6,co-57,cross-domain,0.732
dsa-6,dsa-1,prerequisite,0.434
dsa-6,dsa-nat-1,prerequisite,0.404
dsa-6,la-15,cross-domain,0.799
dsa-6,mock2-q21,same-topic,0.127
dsa-6,mock3-q32,cross-domain,0.751
dsa-6,mock5-q45,cross-domain,0.55
dsa-60,dsa-59,same-topic,0.124
dsa-60,dsa-63,same-topic,0.105
dsa-61,dsa-51,same-topic,0.128
dsa-61,dsa-62,same-topic,0.109
dsa-62,dsa-61,same-topic,0.107
dsa-62,mock2-q25,same-topic,0.108
dsa-63,dsa-60,same-topic,0.121
dsa-63,mock2-q44,same-topic,0.113
dsa-64,ai-38,cross-domain,0.714
dsa-64,co-37,cross-domain,0.577
dsa-64,dsa-3,same-topic,0.117
dsa-64,dsa-58,same-topic,0.12
dsa-64,la-43,cross-domain,0.656
dsa-64,mock2-q38,cross-domain,0.788
dsa-64,mock6-q28,cross-domain,0.574
dsa-64,mock6-q7,cross-domain,0.645
dsa-64,ps-5,cross-domain,0.827
dsa-65,dsa-56,same-topic,0.137
dsa-65,dsa-nat-1,same-topic,0.122
dsa-66,dsa-53,same-topic,0.109
dsa-66,mock5-q63,same-topic,0.142
dsa-7,dsa-18,prerequisite,0.232
dsa-7,dsa-4,same-topic,0.107
dsa-7,dsa-9,same-topic,0.08
dsa-8,dsa-11,same-topic,0.103
dsa-8,dsa-13,prerequisite,0.395
dsa-8,dsa-9,same-topic,0.139
dsa-9,dsa-23,prerequisite,0.369
dsa-9,dsa-7,same-topic,0.104
dsa-9,dsa-8,same-topic,0.118
dsa-nat-1,dsa-47,same-topic,0.097
dsa-nat-1,dsa-65,same-topic,0.115
la-1,la-19,prerequisite,0.241
la-1,la-3,same-topic,0.082
la-1,mock7-q30,same-topic,0.116
la-11,la-15,same-topic,0.105
la-11,mock4-q32,same-topic,0.128
la-12,la-13,same-topic,0.087
la-12,la-8,same-topic,0.129
la-13,ai-10,cross-domain,0.528
la-13,co-24,cross-domain,0.723
la-13,dbms-10,cross-domain,0.701
la-13,dsa-38,cross-domain,0.634
la-13,la-12,same-topic,0.139
la-13,la-14,same-topic,0.085
la-13,ml-msq-1,cross-domain,0.548
la-13,ps-40,cross-domain,0.775
la-14,la-13,same-topic,0.139
la-14,la-17,same-topic,0.108
la-15,ai-17,cross-domain,0.791
la-15,dsa-6,cross-domain,0.797
la-15,la-11,same-topic,0.105
la-15,la-16,same-topic,0.081
la-15,mock3-q32,cross-domain,0.457
la-15,mock5-q45,cross-domain,0.638
la-16,la-15,same-topic,0.128
la-16,la-22,same-topic,0.089
la-16,la-28,same-topic,0.116
la-17,ai-46,cross-domain,0.715
la-17,dbms-9,cross-domain,0.506
la-17,la-14,same-topic,0.116
la-17,la-18,same-topic,0.1
la-17,la-30,same-topic,0.137
la-17,mock2-q37,cross-domain,0.721
la-17,mock5-q6,cross-domain,0.638
la-18,la-17,same-topic,0.113
la-18,la-19,same-topic,0.115
la-19,la-18,same-topic,0.132
la-19,la-20,same-topic,0.106
la-2,la-28,same-topic,0.127
la-2,mock4-q38,same-topic,0.113
la-20,la-19,same-topic,0.12
la-20,la-21,same-topic,0.1
la-21,la-20,same-topic,0.138
la-21,la-25,same-topic,0.093
la-22,la-16,same-topic,0.139
la-22,la-24,same-topic,0.084
la-23,mock4-q38,same-topic,0.151
la-23,mock4-q44,same-topic,0.109
la-24,la-22,same-topic,0.119
la-24,la-26,same-topic,0.088
la-25,la-21,same-topic,0.117
la-25,la-27,same-topic,0.102
la-26,la-24,same-topic,0.124
la-26,la-28,same-topic,0.082
la-27,la-25,same-topic,0.135
la-27,la-29,same-topic,0.106
la-28,la-16,same-topic,0.104
la-28,la-2,same-topic,0.126
la-28,la-26,same-topic,0.111
la-29,co-19,cross-domain,0.546
la-29,dsa-3,cross-domain,0.725
la-29,la-27,same-topic,0.111
la-29,la-30,same-topic,0.111
la-29,mock2-q28,cross-domain,0.791
la-29,mock2-q3,cross-domain,0.547
la-29,mock2-q54,cross-domain,0.723
la-29,mock3-q36,cross-domain,0.701
la-3,la-1,same-topic,0.109
la-3,la-20,prerequisite,0.376
la-3,la-8,same-topic,0.106
la-30,la-17,same-topic,0.082
la-30,la-29,same-topic,0.117
la-30,mock3-q29,same-topic,0.114
la-31,la-32,same-topic,0.108
la-31,la-4,same-topic,0.127
la-31,la-43,same-topic,0.111
la-32,la-31,same-topic,0.133
la-32,la-33,same-topic,0.088
la-33,la-32,same-topic,0.103
la-33,la-43,same-topic,0.091
la-34,la-38,same-topic,0.081
la-34,la-42,same-topic,0.131
la-34,la-43,same-topic,0.154
la-35,la-40,same-topic,0.093
la-35,la-45,same-topic,0.106
